DATE,TIME,DT,WD_WS,VISIBILITY,WEATHER,LOWEST_CLOUD,LOW_CLOUD,MID_CLOUD,CURRENT_TEMP,DEW_POINT
12-05-2017,2,50000,CALM,350,FG,0,NSC,0,13,12
13-05-2017,2,50000,CALM,350,FG,0,NSC,0,13,12
14-05-2017,2,50000,CALM,350,FG,0,NSC,0,13,12
15-05-2017,102,50100,CALM,300,FG,0,NSC,0,13,12
16-05-2017,132,50130,CALM,200,FG,0,NSC,0,13,12
17-05-2017,132,50130,CALM,200,FG,0,NSC,0,13,12
18-05-2017,202,50200,CALM,200,FG,0,NSC,0,13,12
19-05-2017,202,50200,CALM,200,FG,0,NSC,0,13,12
20-05-2017,202,50200,CALM,200,FG,0,NSC,0,13,12
21-05-2017,231,50230,CALM,250,FG,0,NSC,0,13,11
22-05-2017,301,50300,CALM,300,FG,0,NSC,0,13,11
23-05-2017,301,50300,CALM,300,FG,0,NSC,0,13,11
24-05-2017,301,50300,CALM,300,FG,0,NSC,0,13,11
25-05-2017,401,50400,230/03,800,MIFG,0,NSC,0,16,13
26-05-2017,401,50400,230/03,800,MIFG,0,NSC,0,16,13
27-05-2017,431,50500,260/04,800,FU,0,NSC,0,19,13
28-05-2017,531,50530,260/04,1000,FU,0,NSC,0,20,12
29-05-2017,531,50530,260/04,1000,FU,0,NSC,0,20,12
30-05-2017,702,50700,280/05,1500,FU,0,NSC,0,24,12
31-05-2017,702,50700,280/05,1500,FU,0,NSC,0,24,12
01-06-2017,802,50800,260/04,1500,FU,0,NSC,0,24,12
02-06-2017,802,50800,260/04,1500,FU,0,NSC,0,24,12
03-06-2017,802,50830,270/05,1500,FU,0,NSC,0,24,12
04-06-2017,802,50900,240/04,1500,FU,0,NSC,0,24,11
05-06-2017,932,50930,280/04,1700,FU,0,NSC,0,24,11
06-06-2017,932,51000,340/04,2000,FU,0,NSC,0,24,11
07-06-2017,1032,51030,280/04,2200,FU,0,NSC,0,24,10
08-06-2017,1102,51100,290/04,2200,FU,0,NSC,0,24,10
09-06-2017,1132,51130,290/04,2200,FU,0,NSC,0,23,10
10-06-2017,1201,51200,290/03,2200,FU,0,NSC,0,21,11
11-06-2017,1201,51200,290/03,2200,FU,0,NSC,0,21,11
12-06-2017,1201,51200,290/03,2200,FU,0,NSC,0,21,11
13-06-2017,1201,51200,290/03,2200,FU,0,NSC,0,21,11
14-06-2017,1231,51230,CALM,2000,FU,0,NSC,0,21,11
15-06-2017,1301,51300,CALM,1800,FU,0,NSC,0,19,11
16-06-2017,1331,51330,CALM,1800,FU,0,NSC,0,18,12
17-06-2017,1331,51330,CALM,1800,FU,0,NSC,0,18,12
